"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Afghanistan",2004,46.7,45.6,47.8,208.6,215.5,201.4,"South-Central Asia","Asia"
"Albania",2004,75.3,72.6,78.2,19.9,21,18.7,"Southern Europe","Europe"
"Algeria",2004,73.7,72.9,74.7,37.2,39,35.3,"Northern Africa","Africa"
"American Samoa",2004,70.8,68.3,73.4,17.7,20.6,14.6,"Polynesia","Oceania"
"Andorra",2004,81.3,79.8,82.9,5.8,4.9,6.8,"Southern Europe","Europe"
"Angola",2004,54.4,52.5,56.4,177.4,185.9,168.7,"Middle Africa","Africa"
"Anguilla",2004,79.5,77.2,81.8,5.6,7.4,3.7,"Caribbean","Americas"
"Antigua and Barbuda",2004,72.3,70.6,74.2,28.4,32.9,23.7,"Caribbean","Americas"
"Argentina",2004,75.2,72,78.6,16.8,18.1,15.3,"South America","Americas"
"Armenia",2004,72.1,69,75.8,20.4,24.1,15.9,"Western Asia","Asia"
"Aruba",2004,73.9,70.8,77,20.8,28.3,13.2,"Caribbean","Americas"
"Australia",2004,80.4,78,83,5.7,6.3,5,"Australia/New Zealand","Oceania"
"Austria",2004,79.4,76.8,82.3,5.1,5.4,4.8,"Western Europe","Europe"
"Azerbaijan",2004,68.2,65.2,71.8,55.1,59.2,50.2,"Western Asia","Asia"
"Bahamas, The",2004,73.4,71.9,74.9,16.8,18,15.6,"Caribbean","Americas"
"Bahrain",2004,75.9,74.4,77.4,17.8,19.7,15.9,"Western Asia","Asia"
"Bangladesh",2004,69.1,67.3,70.9,69,71.3,66.6,"South-Central Asia","Asia"
"Barbados",2004,75.1,72.4,77.8,16.5,18.5,14.5,"Caribbean","Americas"
"Belarus",2004,69.2,63.3,75.3,9.2,10.6,7.7,"Eastern Europe","Europe"
"Belgium",2004,79,76.1,82,4.8,5.1,4.5,"Western Europe","Europe"
"Belize",2004,72.6,71,74.3,21.9,24.2,19.4,"Central America","Americas"
"Benin",2004,55.4,53.9,57,127.5,133.4,121.4,"Western Africa","Africa"
"Bermuda",2004,80.3,77,83.8,3.2,3.6,2.9,"Northern America","Americas"
"Bhutan",2004,63.3,62.6,64.1,85.7,88.6,82.6,"South-Central Asia","Asia"
"Bolivia",2004,67,64.9,69.1,58.6,62.1,54.9,"South America","Americas"
"Bosnia and Herzegovina",2004,74.1,70.9,77.4,8.2,9.5,6.8,"Southern Europe","Europe"
"Botswana",2004,52.8,51.5,54.1,69.1,73.1,64.9,"Southern Africa","Africa"
"Brazil",2004,70.6,67,74.3,32,36.6,27.2,"South America","Americas"
"Brunei",2004,74.5,72.6,76.5,17.4,20.5,14.2,"South-Eastern Asia","Asia"
"Bulgaria",2004,72,68.7,75.6,17.5,19.5,15.3,"Eastern Europe","Europe"
"Burkina Faso",2004,54.8,53.6,56,147.4,153,141.5,"Western Africa","Africa"
"Burma",2004,62.3,60.2,64.6,79.8,88.6,70.4,"South-Eastern Asia","Asia"
"Burundi",2004,57.4,55.3,59.6,114.6,122.6,106.2,"Eastern Africa","Africa"
"Cabo Verde",2004,68.5,66.5,70.6,44.3,50.2,38.2,"Western Africa","Africa"
"Cambodia",2004,61.5,59.4,63.6,91.5,99.9,82.6,"South-Eastern Asia","Asia"
"Cameroon",2004,52.8,51.8,53.8,135.9,143.3,128.2,"Middle Africa","Africa"
"Canada",2004,80.8,78.4,83.3,6.1,6.4,5.8,"Northern America","Americas"
"Cayman Islands",2004,79,76.5,81.5,12.4,14.4,10.3,"Caribbean","Americas"
"Central African Republic",2004,47,46.1,48,165.6,172.3,158.7,"Middle Africa","Africa"
"Chad",2004,51.4,49.9,52.9,168.8,176.1,161.2,"Middle Africa","Africa"
"Chile",2004,76.5,73.5,79.7,10.3,11.1,9.5,"South America","Americas"
"China",2004,73.2,70.8,76.1,24,25.5,22.3,"Eastern Asia","Asia"
"Colombia",2004,73,69.5,76.7,22.2,24.6,19.6,"South America","Americas"
